Day,Week,Phase,Topic
158,23,Trees,Binary Tree to Doubly Linked List
159,23,Trees,Morris Traversal (Inorder w/o recursion/stack)
160,23,Trees,Nodes at Distance K in Binary Tree
161,23,Trees,Trees - Practice & Revision Quiz
162,24,BST,Binary Search Tree Intro & Search
163,24,BST,Insert into BST
164,24,BST,Delete Node in BST
165,24,BST,Validate Binary Search Tree
166,24,BST,Kth Smallest Element in BST
167,24,BST,Kth Largest Element in BST
168,24,BST,LCA in BST
169,25,BST,Convert Sorted Array to BST
170,25,BST,Inorder Successor/Predecessor in BST
171,25,BST,BST Iterator
172,25,BST,Two Sum in BST
173,25,BST,Recover BST (Swapped Nodes)
174,25,BST,Merge Two BSTs
175,25,BST,BST - Practice & Revision Quiz
176,26,Heap,Heap Intro & Implementation
177,26,Heap,Build a Max Heap / Min Heap
178,26,Heap,Heap Sort
179,26,Heap,Kth Largest Element in Array
180,26,Heap,Kth Smallest Element in Array
181,26,Heap,K Closest Points to Origin
182,26,Heap,Top K Frequent Elements
183,27,Heap,Merge K Sorted Arrays (using Heap)
184,27,Heap,Find Median from Data Stream
185,27,Heap,Sliding Window Median
186,27,Heap,Task Scheduler
187,27,Heap,Design Twitter (Heap Application)
188,27,Heap,Reorganize String
189,27,Heap,Heap - Practice & Revision Quiz
190,28,Graphs Basic,Graph Intro & Representations
191,28,Graphs Basic,BFS Traversal of Graph
192,28,Graphs Basic,DFS Traversal of Graph
193,28,Graphs Basic,Number of Islands
194,28,Graphs Basic,Flood Fill Algorithm
195,28,Graphs Basic,Detect Cycle in Undirected Graph (BFS)
196,28,Graphs Basic,Detect Cycle in Undirected Graph (DFS)
197,29,Graphs Basic,Detect Cycle in Directed Graph
198,29,Graphs Basic,Topological Sort (Kahn's Algorithm)
199,29,Graphs Basic,Topological Sort (DFS based)
200,29,Graphs Basic,Bipartite Graph Check
201,29,Graphs Basic,Rotten Oranges Problem
202,29,Graphs Basic,0/1 Matrix - Nearest 0 (BFS)
203,29,Graphs Basic,Surrounded Regions
204,30,Graphs Basic,Number of Provinces (Connected Components)
205,30,Graphs Basic,Word Ladder Problem
206,30,Graphs Basic,Clone a Graph
207,30,Graphs Basic,Course Schedule I
208,30,Graphs Basic,Course Schedule II
209,30,Graphs Basic,Snake and Ladder Problem
210,30,Graphs Basic,Alien Dictionary Problem
211,31,Graphs Basic,Is Graph Bipartite Advanced
212,31,Graphs Basic,Shortest Path in Unweighted Graph (BFS)
213,31,Graphs Basic,Number of Distinct Islands
214,31,Graphs Basic,Making a Large Island
215,31,Graphs Basic,Path with Minimum Effort
216,31,Graphs Basic,Accounts Merge (Union Find application)
217,31,Graphs Basic,Graphs Basic - Practice & Revision Quiz
218,32,Graphs Advanced,Dijkstra's Algorithm
219,32,Graphs Advanced,Bellman-Ford Algorithm
220,32,Graphs Advanced,Floyd-Warshall Algorithm
221,32,Graphs Advanced,Prim's Algorithm (MST)
222,32,Graphs Advanced,Kruskal's Algorithm (MST)
223,32,Graphs Advanced,Disjoint Set Union (Union-Find) Basics
224,32,Graphs Advanced,Union-Find by Rank & Path Compression
225,33,Graphs Advanced,Number of Operations to Connect Components
226,33,Graphs Advanced,Most Stones Removed with Same Row/Column
227,33,Graphs Advanced,Swim in Rising Water
228,33,Graphs Advanced,Network Delay Time
229,33,Graphs Advanced,Cheapest Flights Within K Stops
230,33,Graphs Advanced,Critical Connections in a Network (Bridges)
231,33,Graphs Advanced,Articulation Points in Graph
232,34,Graphs Advanced,Strongly Connected Components (Kosaraju's)
233,34,Graphs Advanced,Strongly Connected Components (Tarjan's)
234,34,Graphs Advanced,Travelling Salesman Problem (DP + Bitmask Intro)
235,34,Graphs Advanced,Minimum Spanning Tree Applications
236,34,Graphs Advanced,Graph Coloring Problem
237,34,Graphs Advanced,Euler Path & Circuit
238,34,Graphs Advanced,Graphs Advanced - Practice & Revision Quiz
239,35,Greedy,Greedy Intro & Activity Selection
240,35,Greedy,Fractional Knapsack Problem
241,35,Greedy,Job Sequencing Problem
242,35,Greedy,Minimum Number of Platforms
243,35,Greedy,Huffman Coding
244,35,Greedy,N Meetings in One Room
245,35,Greedy,Gas Station Problem
246,36,Greedy,Candy Distribution Problem
247,36,Greedy,Jump Game
248,36,Greedy,Jump Game II
249,36,Greedy,Minimum Number of Coins
250,36,Greedy,Non-overlapping Intervals
251,36,Greedy,Partition Labels
252,36,Greedy,Greedy - Practice & Revision Quiz
253,37,Backtracking,Backtracking Intro & Subsets
254,37,Backtracking,Subsets II (with duplicates)
255,37,Backtracking,Permutations of an Array
256,37,Backtracking,Permutations II (with duplicates)
257,37,Backtracking,Combination Sum
258,37,Backtracking,Combination Sum II
259,37,Backtracking,N-Queens Problem
260,38,Backtracking,Sudoku Solver
261,38,Backtracking,Rat in a Maze Problem
262,38,Backtracking,Word Search
263,38,Backtracking,Palindrome Partitioning
264,38,Backtracking,Letter Combinations of Phone Number
265,38,Backtracking,Generate Parentheses
266,38,Backtracking,M-Coloring Problem
267,39,Backtracking,Print All Paths in Maze
268,39,Backtracking,Restore IP Addresses
269,39,Backtracking,Path with Maximum Gold
270,39,Backtracking,Beautiful Arrangement
271,39,Backtracking,Expression Add Operators
272,39,Backtracking,Split String into Palindromic Substrings
273,39,Backtracking,Backtracking - Practice & Revision Quiz
274,40,DP Basic,DP Intro (Memoization vs Tabulation)
275,40,DP Basic,Fibonacci using DP
276,40,DP Basic,Climbing Stairs
277,40,DP Basic,House Robber
278,40,DP Basic,House Robber II (Circular)
279,40,DP Basic,0/1 Knapsack Problem
280,40,DP Basic,Unbounded Knapsack
281,41,DP Basic,Coin Change - Minimum Coins
282,41,DP Basic,Coin Change II - Number of Ways
283,41,DP Basic,Subset Sum Problem
284,41,DP Basic,Equal Sum Partition Problem
285,41,DP Basic,Count Subsets with Given Sum
286,41,DP Basic,Minimum Subset Sum Difference
287,41,DP Basic,Target Sum Problem
288,42,DP Basic,Longest Common Subsequence
289,42,DP Basic,Longest Common Substring
290,42,DP Basic,Shortest Common Supersequence
291,42,DP Basic,Longest Increasing Subsequence
292,42,DP Basic,LIS - Binary Search Optimization
293,42,DP Basic,Russian Doll Envelopes
294,42,DP Basic,Maximum Length Chain of Pairs
295,43,DP Basic,Minimum Insertions to Make Palindrome
296,43,DP Basic,Distinct Subsequences
297,43,DP Basic,Matrix Chain Multiplication
298,43,DP Basic,Palindrome Partitioning II (Min Cuts)
299,43,DP Basic,Boolean Parenthesization Problem
300,43,DP Basic,Scramble String
301,43,DP Basic,DP Basic - Practice & Revision Quiz
302,44,DP Advanced,Grid Unique Paths
303,44,DP Advanced,Grid Unique Paths with Obstacles
304,44,DP Advanced,Minimum Path Sum in Grid
305,44,DP Advanced,Triangle - Minimum Path Sum
306,44,DP Advanced,Cherry Pickup Problem
307,44,DP Advanced,Maximum Square in Binary Matrix
308,44,DP Advanced,Best Time to Buy/Sell Stock II
309,45,DP Advanced,Best Time to Buy/Sell Stock III
310,45,DP Advanced,Best Time to Buy/Sell Stock IV
311,45,DP Advanced,Stocks with Cooldown
312,45,DP Advanced,Stocks with Transaction Fee
313,45,DP Advanced,Egg Dropping Problem
314,45,DP Advanced,Word Break II
315,45,DP Advanced,Interleaving String
316,46,DP Advanced,Wildcard Matching (DP Approach)
317,46,DP Advanced,Regex Matching (DP Approach)
318,46,DP Advanced,Partition Equal Subset Sum
319,46,DP Advanced,Burst Balloons
320,46,DP Advanced,Bitmask DP - Assign Tasks to Workers
321,46,DP Advanced,DP on Trees - Diameter/Max Path Sum
322,46,DP Advanced,DP Advanced - Practice & Revision Quiz
323,47,Trie & Bit Manipulation,Trie - Implementation (Insert/Search)
324,47,Trie & Bit Manipulation,Trie - Prefix Search
325,47,Trie & Bit Manipulation,Word Search II (Trie + Backtracking)
326,47,Trie & Bit Manipulation,Longest Word with All Prefixes
327,47,Trie & Bit Manipulation,Count Distinct Substrings using Trie
328,47,Trie & Bit Manipulation,Maximum XOR of Two Numbers
329,47,Trie & Bit Manipulation,Single Number Problem
330,48,Trie & Bit Manipulation,Single Number II & III
331,48,Trie & Bit Manipulation,Counting Bits
332,48,Trie & Bit Manipulation,Power of Two/Four Check
333,48,Trie & Bit Manipulation,Subsets using Bitmasking
334,48,Trie & Bit Manipulation,XOR Queries of a Subarray
335,48,Trie & Bit Manipulation,Bitwise AND of Numbers Range
336,48,Trie & Bit Manipulation,Trie & Bit Manipulation - Practice & Revision Quiz
337,49,Sliding Window & Two Pointers,Sliding Window Intro & Fixed Window
338,49,Sliding Window & Two Pointers,Maximum Sum Subarray of Size K
339,49,Sliding Window & Two Pointers,Longest Substring with K Distinct Chars
340,49,Sliding Window & Two Pointers,Longest Repeating Character Replacement
341,49,Sliding Window & Two Pointers,Fruits into Baskets Problem
342,49,Sliding Window & Two Pointers,Minimum Window Substring (Two Pointer)
343,49,Sliding Window & Two Pointers,Container With Most Water
344,50,Sliding Window & Two Pointers,3Sum Closest
345,50,Sliding Window & Two Pointers,Sort Array by Parity
346,50,Sliding Window & Two Pointers,Subarray Product Less Than K
347,50,Sliding Window & Two Pointers,Max Consecutive Ones III
348,50,Sliding Window & Two Pointers,Permutation in String
349,50,Sliding Window & Two Pointers,Find All Anagrams in a String
350,50,Sliding Window & Two Pointers,Sliding Window & Two Pointers - Revision Quiz
351,51,Mixed Practice & Revision,Mock Interview - Arrays & Strings Mix
352,51,Mixed Practice & Revision,Mock Interview - LinkedList & Stack Mix
353,51,Mixed Practice & Revision,Mock Interview - Trees & Graphs Mix
354,51,Mixed Practice & Revision,Mock Interview - DP Mix
355,51,Mixed Practice & Revision,Company-Wise Practice - Amazon Set
356,51,Mixed Practice & Revision,Company-Wise Practice - Google Set
357,51,Mixed Practice & Revision,Company-Wise Practice - Microsoft Set
358,52,Mixed Practice & Revision,Company-Wise Practice - Meta Set
359,52,Mixed Practice & Revision,Time & Space Complexity Recap Across Topics
360,52,Mixed Practice & Revision,"Full Revision - Arrays, Strings, LinkedList"
361,52,Mixed Practice & Revision,"Full Revision - Trees, Graphs, Heaps"
362,52,Mixed Practice & Revision,"Full Revision - DP, Greedy, Backtracking"
363,52,Mixed Practice & Revision,364-Day Challenge Recap & Key Takeaways
364,52,Mixed Practice & Revision,Final Day - AMA / What's Next After This Series
